"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -1.42723679328E-001, +0.00000000000E+000
+5.09993750000E+006, -4.95990289558E-001, +0.00000000000E+000
+1.00998750000E+007, -6.23642138659E-001, +0.00000000000E+000
+1.50998125000E+007, -8.96324047713E-001, +0.00000000000E+000
+2.00997500000E+007, -1.05985801026E+000, +0.00000000000E+000
+2.50996875000E+007, -1.06618199196E+000, +0.00000000000E+000
+3.00996250000E+007, -1.16714436709E+000, +0.00000000000E+000
+3.50995625000E+007, -1.33056853095E+000, +0.00000000000E+000
+4.00995000000E+007, -1.39297564412E+000, +0.00000000000E+000
+4.50994375000E+007, -1.46672008232E+000, +0.00000000000E+000
+5.00993750000E+007, -1.57133496657E+000, +0.00000000000E+000
+5.50993125000E+007, -1.59104425390E+000, +0.00000000000E+000
+6.00992500000E+007, -1.64828882287E+000, +0.00000000000E+000
+6.50991875000E+007, -1.78475543626E+000, +0.00000000000E+000
+7.00991250000E+007, -1.84019248063E+000, +0.00000000000E+000
+7.50990625000E+007, -1.83595431731E+000, +0.00000000000E+000
+8.00990000000E+007, -1.94095483498E+000, +0.00000000000E+000
+8.50989375000E+007, -2.00776838122E+000, +0.00000000000E+000
+9.00988750000E+007, -2.02719875398E+000, +0.00000000000E+000
+9.50988125000E+007, -2.11200104003E+000, +0.00000000000E+000
+1.00098750000E+008, -2.19283541192E+000, +0.00000000000E+000
+1.05098687500E+008, -2.17624812859E+000, +0.00000000000E+000
+1.10098625000E+008, -2.28289182757E+000, +0.00000000000E+000
+1.15098562500E+008, -2.38909933838E+000, +0.00000000000E+000
+1.20098500000E+008, -2.37618125407E+000, +0.00000000000E+000
+1.25098437500E+008, -2.41060764334E+000, +0.00000000000E+000
+1.30098375000E+008, -2.51652156498E+000, +0.00000000000E+000
+1.35098312500E+008, -2.56405362824E+000, +0.00000000000E+000
+1.40098250000E+008, -2.55984611267E+000, +0.00000000000E+000
+1.45098187500E+008, -2.68253318845E+000, +0.00000000000E+000
+1.50098125000E+008, -2.74459037469E+000, +0.00000000000E+000
+1.55098062500E+008, -2.68459935847E+000, +0.00000000000E+000
+1.60098000000E+008, -2.77245882645E+000, +0.00000000000E+000
+1.65097937500E+008, -2.92836719418E+000, +0.00000000000E+000
+1.70097875000E+008, -2.89105585862E+000, +0.00000000000E+000
