"# Channel 1"
"# Trace 1 PHASE OUTPUT#4"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+004, +1.36576582126E+000, +0.00000000000E+000
+1.88499375000E+006, +6.18279154706E-002, +0.00000000000E+000
+3.75998750000E+006, -1.22303857560E-001, +0.00000000000E+000
+5.63498125000E+006, -2.57844150699E-001, +0.00000000000E+000
+7.50997500000E+006, -3.60445241097E-001, +0.00000000000E+000
+9.38496875000E+006, -4.92212082261E-001, +0.00000000000E+000
+1.12599625000E+007, -6.11112629850E-001, +0.00000000000E+000
+1.31349562500E+007, -7.61497465971E-001, +0.00000000000E+000
+1.50099500000E+007, -8.98590525613E-001, +0.00000000000E+000
+1.68849437500E+007, -1.06465421721E+000, +0.00000000000E+000
+1.87599375000E+007, -1.16452531262E+000, +0.00000000000E+000
+2.06349312500E+007, -1.33489063681E+000, +0.00000000000E+000
+2.25099250000E+007, -1.42827029946E+000, +0.00000000000E+000
+2.43849187500E+007, -1.55432669844E+000, +0.00000000000E+000
+2.62599125000E+007, -1.66255182653E+000, +0.00000000000E+000
+2.81349062500E+007, -1.79286841560E+000, +0.00000000000E+000
+3.00099000000E+007, -1.88203378117E+000, +0.00000000000E+000
+3.18848937500E+007, -1.99305635026E+000, +0.00000000000E+000
+3.37598875000E+007, -2.08239185612E+000, +0.00000000000E+000
+3.56348812500E+007, -2.17324126630E+000, +0.00000000000E+000
+3.75098750000E+007, -2.27761560402E+000, +0.00000000000E+000
+3.93848687500E+007, -2.36015612344E+000, +0.00000000000E+000
+4.12598625000E+007, -2.47136326742E+000, +0.00000000000E+000
+4.31348562500E+007, -2.55471786675E+000, +0.00000000000E+000
+4.50098500000E+007, -2.66105974691E+000, +0.00000000000E+000
+4.68848437500E+007, -2.74602702821E+000, +0.00000000000E+000
+4.87598375000E+007, -2.86534582476E+000, +0.00000000000E+000
+5.06348312500E+007, -2.97235494960E+000, +0.00000000000E+000
+5.25098250000E+007, -3.07873093729E+000, +0.00000000000E+000
+5.43848187500E+007, -3.20160426796E+000, +0.00000000000E+000
+5.62598125000E+007, -3.29449830560E+000, +0.00000000000E+000
+5.81348062500E+007, -3.40290099859E+000, +0.00000000000E+000
+6.00098000000E+007, -3.51711178571E+000, +0.00000000000E+000
+6.18847937500E+007, -3.62388422192E+000, +0.00000000000E+000
+6.37597875000E+007, -3.74916466300E+000, +0.00000000000E+000
+6.56347812500E+007, -3.83332844384E+000, +0.00000000000E+000
+6.75097750000E+007, -3.97298735928E+000, +0.00000000000E+000
+6.93847687500E+007, -4.05303489734E+000, +0.00000000000E+000
+7.12597625000E+007, -4.16454922907E+000, +0.00000000000E+000
+7.31347562500E+007, -4.29170366127E+000, +0.00000000000E+000
+7.50097500000E+007, -4.37462249121E+000, +0.00000000000E+000
+7.68847437500E+007, -4.48949048922E+000, +0.00000000000E+000
+7.87597375000E+007, -4.57927897576E+000, +0.00000000000E+000
+8.06347312500E+007, -4.67459665133E+000, +0.00000000000E+000
+8.25097250000E+007, -4.78245958241E+000, +0.00000000000E+000
+8.43847187500E+007, -4.90047781038E+000, +0.00000000000E+000
+8.62597125000E+007, -4.96520344657E+000, +0.00000000000E+000
+8.81347062500E+007, -5.07670474554E+000, +0.00000000000E+000
+9.00097000000E+007, -5.15822278595E+000, +0.00000000000E+000
+9.18846937500E+007, -5.26581339236E+000, +0.00000000000E+000
+9.37596875000E+007, -5.31162923430E+000, +0.00000000000E+000
+9.56346812500E+007, -5.43345668585E+000, +0.00000000000E+000
+9.75096750000E+007, -5.51650846402E+000, +0.00000000000E+000
+9.93846687500E+007, -5.59672405020E+000, +0.00000000000E+000
+1.01259662500E+008, -5.65919943066E+000, +0.00000000000E+000
+1.03134656250E+008, -5.73403542676E+000, +0.00000000000E+000
+1.05009650000E+008, -5.78509870315E+000, +0.00000000000E+000
+1.06884643750E+008, -5.87079371111E+000, +0.00000000000E+000
+1.08759637500E+008, -5.93210087076E+000, +0.00000000000E+000
+1.10634631250E+008, -5.97188544188E+000, +0.00000000000E+000
+1.12509625000E+008, -6.04586968597E+000, +0.00000000000E+000
+1.14384618750E+008, -6.10152641914E+000, +0.00000000000E+000
+1.16259612500E+008, -6.15890241594E+000, +0.00000000000E+000
+1.18134606250E+008, -6.19812541473E+000, +0.00000000000E+000
+1.20009600000E+008, -6.28806976867E+000, +0.00000000000E+000
+1.21884593750E+008, -6.31080267640E+000, +0.00000000000E+000
+1.23759587500E+008, -6.41334654989E+000, +0.00000000000E+000
+1.25634581250E+008, -6.42950122811E+000, +0.00000000000E+000
+1.27509575000E+008, -6.50298096913E+000, +0.00000000000E+000
+1.29384568750E+008, -6.56114765326E+000, +0.00000000000E+000
+1.31259562500E+008, -6.62315823248E+000, +0.00000000000E+000
+1.33134556250E+008, -6.68151221053E+000, +0.00000000000E+000
+1.35009550000E+008, -6.76590463231E+000, +0.00000000000E+000
+1.36884543750E+008, -6.78764178712E+000, +0.00000000000E+000
+1.38759537500E+008, -6.81512739252E+000, +0.00000000000E+000
+1.40634531250E+008, -6.91101525810E+000, +0.00000000000E+000
+1.42509525000E+008, -6.96016419584E+000, +0.00000000000E+000
+1.44384518750E+008, -7.00363680022E+000, +0.00000000000E+000
+1.46259512500E+008, -7.06541734041E+000, +0.00000000000E+000
+1.48134506250E+008, -7.11104481739E+000, +0.00000000000E+000
+1.50009500000E+008, -7.16782597706E+000, +0.00000000000E+000
+1.51884493750E+008, -7.20684699389E+000, +0.00000000000E+000
+1.53759487500E+008, -7.25797930062E+000, +0.00000000000E+000
+1.55634481250E+008, -7.33643839656E+000, +0.00000000000E+000
+1.57509475000E+008, -7.39763433742E+000, +0.00000000000E+000
+1.59384468750E+008, -7.44742473107E+000, +0.00000000000E+000
+1.61259462500E+008, -7.52090683790E+000, +0.00000000000E+000
+1.63134456250E+008, -7.61288930619E+000, +0.00000000000E+000
+1.65009450000E+008, -7.67830863477E+000, +0.00000000000E+000
+1.66884443750E+008, -7.74748254563E+000, +0.00000000000E+000
+1.68759437500E+008, -7.79697561419E+000, +0.00000000000E+000
+1.70634431250E+008, -7.88340766264E+000, +0.00000000000E+000
+1.72509425000E+008, -7.94871383118E+000, +0.00000000000E+000
+1.74384418750E+008, -8.05568962938E+000, +0.00000000000E+000
+1.76259412500E+008, -8.07770993584E+000, +0.00000000000E+000
+1.78134406250E+008, -8.15028466737E+000, +0.00000000000E+000
+1.80009400000E+008, -8.15980578911E+000, +0.00000000000E+000
+1.81884393750E+008, -8.23097021734E+000, +0.00000000000E+000
+1.83759387500E+008, -8.23304206130E+000, +0.00000000000E+000
+1.85634381250E+008, -8.29967299374E+000, +0.00000000000E+000
+1.87509375000E+008, -8.32492362111E+000, +0.00000000000E+000
+1.89384368750E+008, -8.40035591376E+000, +0.00000000000E+000
+1.91259362500E+008, -8.44988847143E+000, +0.00000000000E+000
+1.93134356250E+008, -8.51447989785E+000, +0.00000000000E+000
+1.95009350000E+008, -8.60732459597E+000, +0.00000000000E+000
+1.96884343750E+008, -8.64636969640E+000, +0.00000000000E+000
+1.98759337500E+008, -8.76389404371E+000, +0.00000000000E+000
+2.00634331250E+008, -8.82504945409E+000, +0.00000000000E+000
+2.02509325000E+008, -8.89335116238E+000, +0.00000000000E+000
+2.04384318750E+008, -8.95500684017E+000, +0.00000000000E+000
+2.06259312500E+008, -9.05142039890E+000, +0.00000000000E+000
+2.08134306250E+008, -9.07642518382E+000, +0.00000000000E+000
+2.10009300000E+008, -9.11252285139E+000, +0.00000000000E+000
+2.11884293750E+008, -9.16269070347E+000, +0.00000000000E+000
+2.13759287500E+008, -9.21458080028E+000, +0.00000000000E+000
+2.15634281250E+008, -9.26878409609E+000, +0.00000000000E+000
+2.17509275000E+008, -9.32412103805E+000, +0.00000000000E+000
+2.19384268750E+008, -9.35387825516E+000, +0.00000000000E+000
+2.21259262500E+008, -9.43102298227E+000, +0.00000000000E+000
+2.23134256250E+008, -9.47639005322E+000, +0.00000000000E+000
+2.25009250000E+008, -9.54139401093E+000, +0.00000000000E+000
+2.26884243750E+008, -9.64386546874E+000, +0.00000000000E+000
+2.28759237500E+008, -9.71917507675E+000, +0.00000000000E+000
+2.30634231250E+008, -9.78765105167E+000, +0.00000000000E+000
+2.32509225000E+008, -9.87504395824E+000, +0.00000000000E+000
+2.34384218750E+008, -9.93391387783E+000, +0.00000000000E+000
+2.36259212500E+008, -9.99146595140E+000, +0.00000000000E+000
+2.38134206250E+008, -1.00731571082E+001, +0.00000000000E+000
+2.40009200000E+008, -1.01488271074E+001, +0.00000000000E+000
+2.41884193750E+008, -1.02205282683E+001, +0.00000000000E+000
+2.43759187500E+008, -1.02093386328E+001, +0.00000000000E+000
+2.45634181250E+008, -1.02498053567E+001, +0.00000000000E+000
+2.47509175000E+008, -1.02788247815E+001, +0.00000000000E+000
+2.49384168750E+008, -1.03551821438E+001, +0.00000000000E+000
+2.51259162500E+008, -1.03901964564E+001, +0.00000000000E+000
