"# Channel 1"
"# Trace 2 amplitude OUTPUT#4"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+004, +1.68149133925E+000, +0.00000000000E+000
+1.88499375000E+006, +2.98285865308E+000, +0.00000000000E+000
+3.75998750000E+006, +2.98112945570E+000, +0.00000000000E+000
+5.63498125000E+006, +2.98785283894E+000, +0.00000000000E+000
+7.50997500000E+006, +2.99486571473E+000, +0.00000000000E+000
+9.38496875000E+006, +2.99419870324E+000, +0.00000000000E+000
+1.12599625000E+007, +2.99917702492E+000, +0.00000000000E+000
+1.31349562500E+007, +2.99929177748E+000, +0.00000000000E+000
+1.50099500000E+007, +2.99848484636E+000, +0.00000000000E+000
+1.68849437500E+007, +2.99670202438E+000, +0.00000000000E+000
+1.87599375000E+007, +2.99666612076E+000, +0.00000000000E+000
+2.06349312500E+007, +2.99250783982E+000, +0.00000000000E+000
+2.25099250000E+007, +2.98737677132E+000, +0.00000000000E+000
+2.43849187500E+007, +2.98482673892E+000, +0.00000000000E+000
+2.62599125000E+007, +2.98079201025E+000, +0.00000000000E+000
+2.81349062500E+007, +2.97452433627E+000, +0.00000000000E+000
+3.00099000000E+007, +2.96920668205E+000, +0.00000000000E+000
+3.18848937500E+007, +2.96084292417E+000, +0.00000000000E+000
+3.37598875000E+007, +2.95629006162E+000, +0.00000000000E+000
+3.56348812500E+007, +2.95560077743E+000, +0.00000000000E+000
+3.75098750000E+007, +2.95131961089E+000, +0.00000000000E+000
+3.93848687500E+007, +2.94864651683E+000, +0.00000000000E+000
+4.12598625000E+007, +2.94795275124E+000, +0.00000000000E+000
+4.31348562500E+007, +2.94161993710E+000, +0.00000000000E+000
+4.50098500000E+007, +2.94098756981E+000, +0.00000000000E+000
+4.68848437500E+007, +2.93574873207E+000, +0.00000000000E+000
+4.87598375000E+007, +2.93496060666E+000, +0.00000000000E+000
+5.06348312500E+007, +2.93260992671E+000, +0.00000000000E+000
+5.25098250000E+007, +2.92950648330E+000, +0.00000000000E+000
+5.43848187500E+007, +2.92633239330E+000, +0.00000000000E+000
+5.62598125000E+007, +2.91770928816E+000, +0.00000000000E+000
+5.81348062500E+007, +2.91337554122E+000, +0.00000000000E+000
+6.00098000000E+007, +2.91033077916E+000, +0.00000000000E+000
+6.18847937500E+007, +2.90919798555E+000, +0.00000000000E+000
+6.37597875000E+007, +2.90075479959E+000, +0.00000000000E+000
+6.56347812500E+007, +2.90047791846E+000, +0.00000000000E+000
+6.75097750000E+007, +2.89283537092E+000, +0.00000000000E+000
+6.93847687500E+007, +2.88472463289E+000, +0.00000000000E+000
+7.12597625000E+007, +2.88538784507E+000, +0.00000000000E+000
+7.31347562500E+007, +2.87591685194E+000, +0.00000000000E+000
+7.50097500000E+007, +2.86885207753E+000, +0.00000000000E+000
+7.68847437500E+007, +2.86075044891E+000, +0.00000000000E+000
+7.87597375000E+007, +2.85701434075E+000, +0.00000000000E+000
